Hindi,Transliteration
बांइडर,bāneḍar
बाह्यांग,bāhyāng
सुकड़ा,śukā
सुकड़ी,śukī
मरुकच्छ,marukacch
कमण्डल,kamaṇḍal
स्मरहर,śmarahar
पिँजाई,pin̐jāi
शैलगङ्गा,shailagṅaagā
बच्चोंवाली,baccônvālī
बूटाबूटी,būṭābūṭī
पृथिवीमण्डल,prithivīmaṇḍal
डैमरेज,ḍaimarêj
डैमरेजों,ḍaimarêjôn
अपघरनी,apgaharanī
पंथवाद,pnthavād
दुर्गमनीय,durgamanīy
दुर्गमनीयता,durgamanīyatā
मालाफल,mālāfal
संयंत्र,śnyntr
संयंत्रों,śnyntrôn
संयंत्री,śnyntrī
अत्यय,atyay
अत्ययों,atyayôn
रथवीथी,rtahavīthī
हवाख़्वाह,havāvāh
हवाख़्वाही,havāvāhī
बर्हिषद,barhishhad
धन्ढारी,dhanḍhārī
उँडेल,un̐ḍêl
उँडेलियो,un̐ḍêliyô
उँडेलो,un̐ḍêlô
उँडेलोगे,un̐ḍêlôgê
उँडेलोगी,un̐ḍêlôgī
उँडेले,un̐ḍêlê
उँडेलेगी,un̐ḍêlêgī
उँडेलेगा,un̐ḍêlêgā
उँडेलें,un̐ḍêlên
उँडेलेंगे,un̐ḍêlêngê
उँडेलेंगें,un̐ḍêlêngên
उँडेलेंगी,un̐ḍêlêngī
उँडेलेंगीं,un̐ḍêlêngīn
उँडेलूँ,un̐ḍêlūn̐
उँडेलूँगी,un̐ḍêlūn̐gī
उँडेलूँगा,un̐ḍêlūn̐gā
उँडेली,un̐ḍêlī
उँडेलीं,un̐ḍêlīn
उँडेलिए,un̐ḍêlia
उँडेलिएगी,un̐ḍêliagī
उँडेलिएगा,un̐ḍêliagā
उँडेलने,un̐ḍêlanê
उँडेलना,un̐ḍêlanā
उँडेलते,un̐ḍêlatê
उँडेलती,un̐ḍêlatī
उँडेलतीं,un̐ḍêlatīn
उँडेलता,un̐ḍêlatā
उँडेलकर,un̐ḍêlakar
पुनर्समूहबद्ध,punarśamūhabaddh
सुग्राही,śugrāhī
उडर,uḍar
लहीमुल,lahīmul
चर्ख,carkh
चर्खा,carkhā
चर्खी,carkhī
चर्खे,carkhê
उघरारा,ugharārā
बिरोधना,birôdhanā
रघुबर,rgahubar
स्पर्शज्ञान,śparshajñaān
चर्च,carc
चर्चों,carcôn
चर्चा,carcā
चर्चे,carcê
बतरौहाँ,batarauhān̐
कथापुरुष,ktahāpurushh
क़बाहत,bāhat
विज़ारत,viārat
कुरुवर्ष,kuruvarshh
स्फ़ूर्ती,śūrtī
फोर्ट-लैमी,fôrṭalaimī
कुलांगत,kulāngat
डैक्टिल,ḍaikṭil
शीशयुक्त,shīshayukt
कोप्पिकर,kôppikar
हादिस,hādiś
समस्त्य,śamaśty
मूल्यानुसार,mūlyānuśār
मूलद्वार,mūladvār
भाषापति,bhāshhāpati
अभिकल्पित,abhikalpit
बोधित,bôdhit
प्रतिबोधित,pratibôdhit
विबोधित,vibôdhit
स्तनपायी,śtanapāyī
स्तनपायिओं,śtanapāyion
अनुभवगम्य,anubhavagamy
अनुभवगम्यता,anubhavagamyatā
भग्नासक्त,bhagnāśakt
महामारीविज्ञान-संबंधी,mahāmārīvijñaānaśnbndhī
सनपर्णी,śanaparṇī
अदृश्यदर्शन,adrishyadarshan
अदृश्यदर्शनों,adrishyadarshanôn
भास्वोणज,bhāśvôṇaj
वस्तूपपाद्य,vaśtūpapādy
अपमुख,apamukh
एडमिट,aḍamiṭ
तेरप्सिकोरी,têrapśikôrī
कमुकंदर,kamukndar
ऐंक्लेट्स,aenklêṭś
चर्म,carm
चर्मता,carmatā
चर्मों,carmôn
चर्मी,carmī
दुग्धशर्करा,dugdhsaharkarā
हॉलो,hŏlô
सल्फ़्यूरिक,śalyūrik
चर्य,cary
पापचर्य,pāpacary
व्यतिपात,vyatipāt
रिकार्डरूम,rikārḍarūm
हतप्रमाद,hatapramād
मनोदत्त,manôdatt
ताला-बंदी,tālābndī
गत्यवरुद्ध,gatyavaruddh
द्वाकर,dvākar
फ़ोटों,ôṭôn
पेनेउस,pênêuś
अंडकवच,anḍakavac
रणस्थल,raṇaśthal
रणस्थलों,raṇaśthalôn
असहायत्व,aśahāyatv
तंत्रशास्त्र,tntrsahāśtr
तंत्रशास्त्री,tntrsahāśtrī
टरकना,ṭarakanā
टरकनी,ṭarakanī
टरकने,ṭarakanê
मॉलिम्यूलर,mŏlimyūlar
कुंकुमाद्रि,kunkumādri
अपोमय,apômay
रौंदाई,raundāi
कीड़ा-मकोड़ा,kīāmakôā
कांगोई,kāngôi
स्टौंप,śṭaunp
गुह्रातंत्र,guhrātntr
तूर्यनाद,tūryanād
हलजुता,halajutā
हलजुती,halajutī
सोसायटी,śôśāyaṭī
हिजरी,hijarī
सुदण्ष्ट्र,śudaṇshhṭr
सांख्यमुख्य,śānkhyamukhy
रिज़ॉल्विंग,riŏlving
मनमनाहट,manamanāhaṭ
चलते-चलते,calatêcalatê
द्वयाकारीयता,dvayākārīyatā
लूपुस,lūpuś
संसज्जमान,śnśajjamān
चूचुक,cūcuk
चूचुकों,cūcukôn
पांडवायन,pānḍavāyan
दृढ़मत,drimat
दृढ़मतता,drimatatā
होने-वाले,hônêvālê
प्रलम्बित,pralambit
शीघ्रपात,shīghrapāt
बाँकडा,bān̐kaḍā
बाँकडी,bān̐kaḍī
उनीँदा,unīn̐dā
उनीँदे,unīn̐dê
कामैत,kāmait
ऐष्टक,aeshhṭak
ऐष्टकों,aeshhṭakôn
इंदुपुत्र,enduputr
इंदुपुत्री,enduputrī
इंदुपुत्रों,enduputrôn
समयलेखी,śamayalêkhī
दंत-मंजन,dntamnjan
बेंदा,bêndā
बेंदे,bêndê
बेंदों,bêndôn
बेंदी,bêndī
मटिआना,maṭiaanā
झूंदी,jhūndī
बैक्टीरियोफ़ेज,baikṭīriyôêj
प्रेगनेंट,prêganênṭ
घिरायँद,ghirāyn̐d
लचकमटक,lacakamaṭak
ज्ञानोपार्जन,jñaānôpārjan
ज्ञानोपार्जनों,jñaānôpārjanôn
पतिव्रता-कुलटा,pativratākulaṭā
तरुकोटर,tarukôṭar
ट्रांसफ़र्ड,ṭrānśarḍ
ठिक-ठिक,ṭhikṭahik
ऐबारा,aebārā
ऐबारे,aebārê
स्टैपल,śṭaipal
सुप्रवेदित,śupravêdit
रसबटा,raśabaṭā
पुनर्संपूरण,punarśnpūraṇ
अड़तालिस,atāliś
रातभोर,rātbahôr
जयाश्रया,jayāshrayā
जयाश्रये,jayāshrayê
जयाश्रयों,jayāshrayôn
गदहिला,gadahilā
अनवधि,anavdahi
टेरागॉन,ṭêrāgŏn
आडंबरहीन,aaḍnbarahīn
आडंबरहीनता,aaḍnbarahīnatā
अब्दीय,abdīy
बालकोचित,bālakôcit
लोकप्रधान,lôkaprdahān
फ़ोटोन,ôṭôn
ढवाना,ḍhavānā
मानिसक,māniśak
पकड़न,paakan
पकड़ना,paakanā
पकड़ने,paakanê
महालत,mahālat
वातग्रस्त,vātagraśt
धर्माचार्य,dharmācāry
धर्माचार्यों,dharmācāryôn
धर्माचार्या,dharmācāryā
परिचर्चापत्र,paricarcāpatr
नगफँग,nagafn̐g
विड्भंग,viḍbhng
कृष्णस्कंद,krishhṇaśknd
विषुवत,vishhuvat
विषुवतों,vishhuvatôn
गुल्ली-डंडा,gullīḍnḍā
गुल्ली-डंडे,gullīḍnḍê
कृष्णस्कंध,krishhṇaśkndh
पकड़म,paakam
कपिकेतु,kapikêtu
विषुवद,vishhuvad
टेँक,ṭên̐k
पनिक,panik
आपनिक,aapanik
फ़ोलेट,ôlêṭ
झल्लिका,jhallikā
संक्षेपीकरण,śnkshhêpīkaraṇ
संक्षेपीकरणों,śnkshhêpīkaraṇôn
प्राक्-,prāk
धनुर्द्रुम,dhanurdrum
कुंभस्थान,kunbhaśthān
महालय,mahālay
महालयों,mahālayôn
महालया,mahālayā
महालयी,mahālayī
लवलैटर,lavalaiṭar
स्खलद्वाक्य,śkhaladvāky
पॉलिटीशियन,pŏliṭīshiyan
पॉलिटीशियनों,pŏliṭīshiyanôn
हंडना,hnḍanā
कविता-संग्रह,kavitāśngrah
निलिंपिका,nilinpikā
अभ्यांतर,abhyāntar
टेँट,ṭên̐ṭ
टेँटें,ṭên̐ṭên
टेँटों,ṭên̐ṭôn
पुरोगामी,purôgāmī
डींग,ḍīng
डींगों,ḍīngôn
डींगी,ḍīngī
धान्यविद,dhānyavid
धमचक,dhamacak
कुँहड़ा,kun̐hā
अभियोजनीय,abhiyôjanīy
महाखंड,mahākhnḍ
शारिरीक-सम्बन्ध,shārirīkaśambandh
पोस्तमाल,pôśtamāl
भिखारन,bhikhāran
पकड़ा,paakā
पकड़ाइयो,paakāeyô
पकड़ावे,paakāvê
पकड़ाई,paakāi
पकड़ाकर,paakākar
पकड़ाना,paakānā
पकड़ाने,paakānê
पकड़ाता,paakātā
पकड़ाती,paakātī
पकड़ाते,paakātê
पकड़ाए,paakāa
पकड़ाएगा,paakāagā
पकड़ाएगी,paakāagī
पकड़ाएँगीं,paakāan̐gīn
पकड़ाएँगे,paakāan̐gê
पकड़ाऊँ,paakāoon̐
पकड़ाऊँगा,paakāoon̐gā
पकड़ाऊँगी,paakāoon̐gī
पकड़ाऊँगीं,paakāoon̐gīn
पकड़ाइए,paakāea
पकड़ाइएगा,paakāeagā
पकड़ाइएगी,paakāeagī
पकड़ाओ,paakāo
पकड़ाओगे,paakāogê
पकड़ाओगी,paakāogī
पकड़ीं,paakīn
पकड़े,paakê
पकड़ों,paakôn
पकड़ी,paakī
पकड़ो,paakô
हाग्ज़,hāg
नयाम,nayām
हिर्मास,hirmāś
रामधाम,rāmdahām
जूँभरा,jūn̐bharā
जूँभरी,jūn̐bharī
अभिसर्ता,abhiśartā
भूकंपविज्ञान-संबंधी,bhūknpavijñaānaśnbndhī
शोकात्मक,shôkātmak
ठाकुरद्वारा,ṭhākuradvārā
ठाकुरद्वारे,ṭhākuradvārê
ठाकुरद्वारों,ṭhākuradvārôn
नदीभाषक,nadībhāshhak
सहनोन्माद,śahanônmād
सहनोन्मादी,śahanônmādī
लघुशीत,lgahushīt
तुपकची,tupakacī
ख़ाकशी,āksahī
उचकवा,ucakavā
उचकवाइयो,ucakavāeyô
उचकवावे,ucakavāvê
उचकवाई,ucakavāi
उचकवाकर,ucakavākar
उचकवाना,ucakavānā
उचकवाने,ucakavānê
उचकवाता,ucakavātā
उचकवाती,ucakavātī
उचकवाते,ucakavātê
उचकवाए,ucakavāa
उचकवाएगा,ucakavāagā
उचकवाएगी,ucakavāagī
उचकवाएँगीं,ucakavāan̐gīn
उचकवाएँगे,ucakavāan̐gê
उचकवाऊँ,ucakavāoon̐
उचकवाऊँगा,ucakavāoon̐gā
उचकवाऊँगी,ucakavāoon̐gī
उचकवाऊँगीं,ucakavāoon̐gīn
उचकवाइए,ucakavāea
उचकवाइएगा,ucakavāeagā
उचकवाइएगी,ucakavāeagī
उचकवाओ,ucakavāo
उचकवाओगे,ucakavāogê
उचकवाओगी,ucakavāogī
काष्ठसंघात,kāshhṭhaśnghāt
खारोशथी,khārôshtahī
भाषणबाज़,bhāshhaṇabā
भाषणबाज़ी,bhāshhaṇabāī
जातिसृत,jātiśrit
सद्सद,śadśad
द्रूज,drūj
अलौहिक,alauhik
नीम-हकीमीई,nīmahakīmīi
निर्विषय,nirvishhay
निर्विषयता,nirvishhayatā
निर्विषयी,nirvishhayī
राजार्हण,rājārhaṇ
पनिश,panish
बेरी-बेरी,bêrībêrī
अर्शसान,arshaśān
रत्नाभूषित,ratnābhūshhit
द्रूण,drūṇ
वरचंदन,varacndan
पीतबीजा,pītabījā
अटलनीयत,aṭalanīyat
अटलनीयता,aṭalanīyatā
सीरपाणि,śīrapāṇi
जलयंत्रालय,jalayntrālay
शोर्याकू,shôryākū
पदवाला,padavālā
कालीबंगन,kālībngan
जुतियौअल,jutiyaual
तड़कभड़कदार,takbaahakadār
वॉल्फ्रेम,vŏlfrêm
करतूति,karatūti
संतानोत्पत्ति,śntānôtpatti
कार्क,kārk
कार्कों,kārkôn
मस्क्वा,maśkvā
वसाप्रमेह,vaśāpramêh
मोहर-माल,môhaaramāl
द्रूम,drūm
तोषी,tôshhī
गुरुजी,gurujī
वित्तप्रदाता,vittapradātā
जिवाणु,jivāṇu
प्रविध,pravidh
सिन्धी-भाषा,śindhībhāshhā
सिन्धी-भाषाओं,śindhībhāshhāon
अवधायक,avdahāyak
अवधायकों,avdahāyakôn
अमोनियाक,amôniyāk
इह-काल,ehakāl
इह-कालों,ehakālôn
जमानवीस,jamānavīś
ज़रकार,rakār
ज़रकारी,rakārī
सर्वेश्वरवाद,śarvêshvaravād
सर्वेश्वरवादी,śarvêshvaravādī
सर्वेश्वरवादों,śarvêshvaravādôn
कार्ज,kārj
फडफडाना,faḍafaḍānā
बुनाईदार,bunāidār
सचीनंदन,śacīnndan
कार्ट,kārṭ
अर्धसंवृत्त,ardhaśnvritt
डीप्रैशन,ḍīpraishan
अपराक्रमी,aparākramī
नगरांतर्गतीय,nagarāntargatīy
कार्ड,kārḍ
कार्डों,kārḍôn
प्रविर,pravir
प्रविरों,pravirôn
विद्युतांशन,vidyutānshan
कार्ण,kārṇ
इंद्र-सभा,endraśbahā
असिद्धकरण,aśiddhakaraṇ
सत्याधारित,śatyādhārit
त्रिनिदादियन,trinidādiyan
वारिवर्णक,vārivarṇak
लैंबाडा,lainbāḍā
एस्कूडो,aśkūḍô
कार्न,kārn
पापकार्न,pāpakārn
बाह्यांग-संवेदनहीनता,bāhyāngaśnvêdanahīnatā
गतरात्रि,gatarātri
मेंडारिन,mênḍārin
कार्प,kārp
शाण्डिल्य,shāṇḍily
दीर्घावकाश,dīrghāvakāsh
दीर्घावकाशों,dīrghāvakāshôn
मुरलीधर,muralīdhar
मुरलीधरों,muralīdharôn
कार्म,kārm
नसापानी,naśāpānī
क्षिप्रपाकी,kshhiprapākī
साफ़-सुथरापन,śāśutharāpan
कार्य,kāry
कार्यता,kāryatā
कार्यों,kāryôn
कार्यकर्ता,kāryakartā
कार्यसूचक,kāryaśūcak
कार्यी,kāryī
ठुमकवा,ṭhumakavā
ठुमकवाइयो,ṭhumakavāeyô
ठुमकवावे,ṭhumakavāvê
ठुमकवाई,ṭhumakavāi
ठुमकवाकर,ṭhumakavākar
ठुमकवाना,ṭhumakavānā
ठुमकवाने,ṭhumakavānê
ठुमकवाता,ṭhumakavātā
ठुमकवाती,ṭhumakavātī
ठुमकवाते,ṭhumakavātê
ठुमकवाए,ṭhumakavāa
ठुमकवाएगा,ṭhumakavāagā
ठुमकवाएगी,ṭhumakavāagī
ठुमकवाएँगीं,ṭhumakavāan̐gīn
ठुमकवाएँगे,ṭhumakavāan̐gê
ठुमकवाऊँ,ṭhumakavāoon̐
ठुमकवाऊँगा,ṭhumakavāoon̐gā
ठुमकवाऊँगी,ṭhumakavāoon̐gī
ठुमकवाऊँगीं,ṭhumakavāoon̐gīn
ठुमकवाइए,ṭhumakavāea
ठुमकवाइएगा,ṭhumakavāeagā
ठुमकवाइएगी,ṭhumakavāeagī
ठुमकवाओ,ṭhumakavāo
ठुमकवाओगे,ṭhumakavāogê
ठुमकवाओगी,ṭhumakavāogī
स्वर्गगामी,śvargagāmī
वातपट,vātapaṭ
छीरज,chīraj
कार्ल,kārl
कार्ला,kārlā
अर्धस्पष्ट,ardhaśpshahṭ
अप्रतिबद्घ,apratibadgh
अभिस्वीकरण,abhiśvīkaraṇ
नछित्त,ncahitt
कानखाऊ,kānkahāoo
लाठीबरदार,lāṭhībaradār
अजूह,ajūh
अन्नसंस्कार,annaśnśkār
विषयकाम,vishhayakām
लेजिम,lêjim
बढ़ईगिरी,bigirī
नोनिया,nôniyā
नोनियाएँ,nôniyāan̐
नोनियाओं,nôniyāon
नोनियाँ,nôniyān̐
उल्‌,ul
कार्ष,kārshh
कार्षी,kārshhī
लगनपूर्वक,laganapūrvak
मधूरिका,mdahūrikā
आत्मसंवेदन,aatmaśnvêdan
आत्मसंवेदना,aatmaśnvêdanā
अनुकूल-प्रतिकूल,anukūlapratikūl
सम्मत्य,śammaty
एस्पिरिटू,aśpiriṭū
उर्फीयत,urfīyat
पठन-पाठन,pṭahaanapāṭhan
अन्तरजातीय,antarajātīy
ठीक,ṭhīk
बेठीक,bêṭhīk
छल-कपट,chaalakapaṭ
प्रजीवन,prajīvan
प्रजीवनों,prajīvanôn
गलफूट,galafūṭ
सिद्धांतानुसार,śiddhāntānuśār
ऐंबुलेंस,aenbulênś
ऐंबुलेंसों,aenbulênśôn
तेलवाई,têlavāi
श्राता,shrātā
अप्रतिबद्ध,apratibaddh
अप्रतिबद्धता,apratibaddhatā
अलूमीनियम,alūmīniyam
नवछर,navcahar
हृत्स्तंभ,hritśtnbh
मेदोर्वुद,mêdôrvud
ऐंबौसिंग,aenbauśing
बडाना,baḍānā
समप्राप्ति,śamaprāpti
शक्तिशील,shaktishīl
चर्बीदार,carbīdār
तांडवतालिक,tānḍavatālik
पतलाना,patalānā
बुत्ता,buttā
बुत्ती,buttī
कैटिगरी,kaiṭigarī
लोभनीय,lôbhanīy
लोभनीयता,lôbhanīyatā
घट्ठेदार,ghaṭṭhêdār
पदांगी,padāngī
सुप्रशस्त,śuprsahaśt
रामसिंह,rāmaśinh
गो-झुण्ड,gôjhuṇḍ
अन्तरत्वचा,antaratvacā
नभस्थित,nbahaśthit
पूर्वाद्रि,pūrvādri
अयथा,aytahā
एयरलाईन्स,ayaralāinś
कंप्यूटरन,knpyūṭaran
तजुरबेकार,tajurabêkār
संगृहीत,śngrihīt
संगृहीता,śngrihītā
झुनझुनियाँें,jhunjahuniyān̐ên
क्लांतिकारी,klāntikārī
विक्लांतिकारी,viklāntikārī
नहलाया,nahalāyā
रविकुल,ravikul
अव्यग्रत,avyagrat
अव्यग्रता,avyagratā
क्रोधकृत्कर्ता,krôdhakritkartā
पुनर्सीमांकन,punarśīmānkan
सहस्रचिर,śahaśracir
ठील,ṭhīl
ठीलियो,ṭhīliyô
ठीलो,ṭhīlô
ठीलोगे,ṭhīlôgê
ठीलोगी,ṭhīlôgī
ठीले,ṭhīlê
ठीलेगी,ṭhīlêgī
ठीलेगा,ṭhīlêgā
ठीलें,ṭhīlên
ठीलेंगे,ṭhīlêngê
ठीलेंगें,ṭhīlêngên
ठीलेंगी,ṭhīlêngī
ठीलेंगीं,ṭhīlêngīn
ठीलूँ,ṭhīlūn̐
ठीलूँगी,ṭhīlūn̐gī
ठीलूँगा,ṭhīlūn̐gā
ठीली,ṭhīlī
ठीलीं,ṭhīlīn
ठीलिए,ṭhīlia
ठीलिएगी,ṭhīliagī
ठीलिएगा,ṭhīliagā
ठीलने,ṭhīlanê
ठीलना,ṭhīlanā
ठीलते,ṭhīlatê
ठीलती,ṭhīlatī
ठीलतीं,ṭhīlatīn
ठीलता,ṭhīlatā
ठीलकर,ṭhīlakar
डेलावेयर,ḍêlāvêyar
क्षमादान-काल,kshhamādānakāl
क्षमादान-कालों,kshhamādānakālôn
दार्दुर,dārdur
बुल्गार,bulgār
फॉण्ट्स,fŏṇṭś
मेरीगोराउन्ड,mêrīgôrāunḍ
नियंतीय,niyntīy
उल्लीढ़,ullī
वैद्युतिकि,vaidyutiki
बहुव्यापकता,bahuvyāpakatā
मृगदेश,mrigadêsh
सौमनस्यपूर्ण,śaumanaśyapūrṇ
रावरखा,rāvarkahā
ईद-उल-फितर,idulafitar
रसाग्रज,raśāgraj
निर्गवाक्ष,nirgavākshh
ख़िताबदार,itābadār
कमीशन्ड,kamīshanḍ
निग्रर्थिक,nigrarthik
प्रोत्तंभयिता,prôttnbhayitā
मरणांत,maraṇānt
अवकाशपूर्वक,avakāshapūrvak
बकुचा,bakucā
बकुचे,bakucê
बकुचों,bakucôn
बकुची,bakucī
सुकीर्त,śukīrt
वर-सुंदरी,vaaraśundarī
साढ़ेसाती,śāêśātī
उपमहानिरीक्षक,upamahānirīkshhak
उपमहानिरीक्षकों,upamahānirīkshhakôn
ट्यून,ṭyūn
ट्यूनों,ṭyūnôn
ट्यूना,ṭyūnā
कागिया,kāgiyā
इतरपोषी,etarapôshhī
गोरखपुर,gôrkahapur
गोरखपुरी,gôrkahapurī
छकैँडा,chakain̐ḍā
छकैँडी,chakain̐ḍī
माधुर्यप्रधान,mādhuryaprdahān
ज़मीँकंद,mīn̐knd
मुँहदेखनी,mun̐hadêkhanī
ऑरबिटर,awrabiṭar
अबंधक,abndhak
ट्यूब,ṭyūb
ट्यूबों,ṭyūbôn
ट्यूबा,ṭyūbā
आस्थानिका,aaśthānikā
नभोरूप,nbahôrūp
गुरुवत,guruvat
ऐनिस्थीटिस्ट,aeniśthīṭiśṭ
पोलिया,pôliyā
पोलियो,pôliyô
कनेखी,kanêkhī
जिलबन्दी,jilabandī
शैफ़्रर्ड,shairarḍ
निग्रर्थित,nigrarthit
निग्रर्थिता,nigrarthitā
क्षत्रियाणी,kshhatriyāṇī
दैन्य,dainy
दैन्यों,dainyôn
क्रुरात्मा,krurātmā
प्रतिषिद्ध,pratishhiddh
विप्रतिषिद्ध,vipratishhiddh
अप्रतिषिद्ध,apratishhiddh
सुचिकर्मा,śucikarmā
न्यूजप्रिंट,nyūjaprinṭ
आश्वसनीय,aashvaśanīy
चर्वर्ण,carvarṇ
मद्यनिषेधाधीन,madyanishhêdhādhīn
मुतफ़रिंक,mutarink
शुनकचंचुका,shunakacncukā
गुल्लक,gullak
गुल्लकों,gullakôn
मनुष्यजाति,manushhyajāti
विरूढ़क,virūk
रॉबर्टसन,rŏbarṭaśan
उदरिक,udarik
उदरिका,udarikā
असमानांतर,aśamānāntar
अबंधत,abndhat
हीनदोष,hīnadôshh
संप्रणादित,śnpraṇādit
गरमा-गरम,garamāgaram
किर्गिजस्तान,kirgijaśtān
ब्रकोली,brakôlī
बटालियन,baṭāliyan
बटालियनों,baṭāliyanôn
बग्गा,baggā
बग्गी,baggī
मच-मच,maacamac
ओहदों,ohadôn
अबंधन,abndhan
निचौहाँ,nicauhān̐
दंतरंजव्य,dntarnjavy
स्वर्जित्‌,śvarjit
सोफ़ासैट,śôāśaiṭ
साहस्रांत्य,śāhaśrānty
अंजनशलाका,anjansahalākā
अंजनशलाके,anjansahalākê
अंजनशलाकों,anjansahalākôn
टाइमकीपर,ṭāemakīpar
टाइमकीपरों,ṭāemakīparôn
अवंठ,avnṭh
जादू-मन्तर,jādūmantar
इंटैरोगेटिव,enṭairôgêṭiv
रंग-भेद,rngbahêd
दुरपवाद,durapavād
दुरपवादों,durapavādôn
अवंड,avnḍ
मांसोपजीवी,mānśôpajīvī
निश्रेणि,nishrêṇi
खाता-बही,khātābahī
ऑर्गेनोलोजी,awrgênôlôjī
वैमनस्यहीन,vaimanaśyahīn
वैमनस्यहीनता,vaimanaśyahīnatā
सहस्तित्व,śahaśtitv
लातविया-वासी,lātaviyāvāśī
लातविया-वासिओं,lātaviyāvāśion
लदायी,ladāyī
मौथिली,mauthilī
आदतवश,aadatavsah
प्रियंक,priynk
प्रियंका,priynkā
लंगरख़ाना,lngaarānā
छल-छद्म,chaalcahadm
बलसुंदर,balaśundar
पायड़ा,pāyā
अगंधत,agndhat
तैंतीस-चौंतीस,taintīśacauntīś
विस्त्राण,viśtrāṇ
ज़रबफ्,rabaf
पुल्क़ी,pulī
बुध्दि,budhdi
संभोगीकरण,śnbhôgīkaraṇ
कोष्ठपाल,kôshhṭhapāl
वेबसाइट,vêbaśāeṭ
वेबसाइटें,vêbaśāeṭên
वेबसाइटों,vêbaśāeṭôn
अग्रेतर,agrêtar
युद्धबन्दी,yuddhabandī
काफिरिस्तान,kāfiriśtān
दुपैकर,dupaikar
चरणोदक,caraṇôdak
चरणोदकों,caraṇôdakôn
उदरिल,udaril
सालहज,śālahaj
चोलट्री,côlaṭrī
अलेक्ज़ेंड्रिया,alêkênḍriyā
बालाघाट,bālāghāṭ
अवंश,avnsh
पूतक्रतायी,pūtakratāyī
भँगोरिया,bhn̐gôriyā
रंगजननी,rngajananī
यक्षावास,yakshhāvāś
वनकन्या,vanakanyā
शद्रि,shadri
मर्कटीय,markaṭīy
सिंचवा,śincavā
सिंचवाइयो,śincavāeyô
सिंचवावे,śincavāvê
सिंचवाई,śincavāi
सिंचवाकर,śincavākar
सिंचवाना,śincavānā
सिंचवाने,śincavānê
सिंचवाता,śincavātā
सिंचवाती,śincavātī
सिंचवाते,śincavātê
सिंचवाए,śincavāa
सिंचवाएगा,śincavāagā
सिंचवाएगी,śincavāagī
सिंचवाएँगीं,śincavāan̐gīn
सिंचवाएँगे,śincavāan̐gê
सिंचवाऊँ,śincavāoon̐
सिंचवाऊँगा,śincavāoon̐gā
सिंचवाऊँगी,śincavāoon̐gī
सिंचवाऊँगीं,śincavāoon̐gīn
सिंचवाइए,śincavāea
सिंचवाइएगा,śincavāeagā
सिंचवाइएगी,śincavāeagī
सिंचवाओ,śincavāo
सिंचवाओगे,śincavāogê
सिंचवाओगी,śincavāogī
मरखनहा,markahanahā
लैंपशेड,lainpsahêḍ
निरङ्ग,nirṅaag
पैर-उँगली,pairun̐galī
छिछोरपन,chichôrapan
नलसेतु,nalaśêtu
कौनफ़रैंस,kaunarainś
सत्यरत,śatyarat
सत्यरता,śatyaratā
लिथाडना,lithāḍanā
गुल्ला,gullā
गुल्ले,gullê
गुल्लों,gullôn
गुल्ली,gullī
सुग्रीव,śugrīv
सुग्रीवों,śugrīvôn
सुग्रीवा,śugrīvā
सुग्रीवी,śugrīvī
प्रकाशाभाव,prakāshābhāv
जलभँवरा,jalbahn̐varā
नेकराह,nêkarāh
विशेताएँ,vishêtāan̐
देश्य,dêshy
आदेश्य,aadêshy
वलनाशक,valanāshak
तवर्ग,tavarg
तवर्गों,tavargôn
क्रव्य,kravy
परिष्यंद,parishhynd
परिष्यंदी,parishhyndī
दाटा,dāṭā
एलिफेन्टा,alifênṭā
भूमिपिशाच,bhūmipishāc
प्रतिमंडल,pratimnḍal
बिछाली,bichālī
साग-भात,śāgbahāt
संपुष्टिकरण,śnpushhṭikaraṇ
रुस्तम,ruśtam
रुस्तमों,ruśtamôn
लिथुनियाई-भाषा,lithuniyāibhāshhā
लिथुनियाई-भाषाओं,lithuniyāibhāshhāon
आरिंभक,aarinbhak
कर्मचांडाल,karmacānḍāl
नकलोल,nakalôl
कास्मोनौट,kāśmônauṭ
बाल-भाषा,bālbahāshhā
बाल-भाषाओं,bālbahāshhāon
पत्रोल्लास,patrôllāś
पत्रोल्लासों,patrôllāśôn
रॉन्ग,rŏng
अंतस्थिति,antaśthiti
नतीज़ा,natīā
बेनतीज़ा,bênatīā
कफनचोर,kafanacôr
लिंगीय,lingīy
लिंगीयता,lingīyatā
पदानुग,padānug
स्थौर,śthaur
स्थौरा,śthaurā
स्थौरी,śthaurī
प्रताड़नशील,pratānsahīl
वनग,vanag
एसीटेट,aśīṭêṭ
वुड,vuḍ
बेवुड,bêvuḍ
वलनाशन,valanāshan
झटकारन,jhaṭakāran
झटकारना,jhaṭakāranā
झटकारने,jhaṭakāranê
धरोहरधारी,dharôhardahārī
कशिपु,ksahipu
रविपूत,ravipūt
कर्मघात,karmgahāt
प्रचारात्मक,pracārātmak
वनज,vanaj
वनजों,vanajôn
सालहा,śālahā
वसंतकालीन,vaśntakālīn
भ्रूमध्य,bhrūmdahy
भ्रूमध्यों,bhrūmdahyôn
इनजंक्शन,enajnkshan
लिंगधर,lingdahar
हँकडना,hn̐kaḍanā
मेनकासमान,mênakāśamān
कैरिकेचर,kairikêcar
कैरिकेचरी,kairikêcarī
मड्डु,maḍḍu
ऐमौक्सिलिन,aemaukśilin
निजीउपयोग,nijīupayôg
कन्नास,kannāś
कन्नासी,kannāśī
